,Company Name,Industry,Symbol,Series,ISIN Code,m_cap
0,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,35426.0
1,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,101108.9
2,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,39689.8
3,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,33867.6
4,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,44070.3
5,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,4541.1
6,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,22950.1
7,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,11571.7
8,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,47710.1
9,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,116189.7
10,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,326661.6
11,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,253476.9
12,Adani Power Ltd.,Power,ADANIPOWER,BE,INE814H01011,197359.6
13,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,109436.6
14,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,47191.3
15,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,41567.0
16,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025,12764.1
17,Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014,11787.0
18,Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,17172.4
19,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,15277.9
20,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,59453.7
21,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,13142.7
22,Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,7959.3
23,Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,10849.1
24,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,10246.8
25,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,100344.6
26,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,27602.4
27,Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,10907.2
28,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,22583.0
29,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,27331.6
30,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,13497.6
31,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,51059.3
32,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,324530.2
33,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,19975.5
34,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,51630.1
35,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,20752.8
36,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,62323.4
37,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,5455.3
38,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,261819.2
39,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,337433.3
40,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,11993.0
41,BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,31300.1
42,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,182919.2
43,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,442646.7
44,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,262065.9
45,Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,8471.6
46,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,48617.3
47,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,7832.9
48,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,37848.3
49,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,116536.6
50,Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,49851.7
51,Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,32043.2
52,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,20815.0
53,Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,25404.9
54,Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018,31062.5
55,Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,133001.4
56,Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025,57125.4
57,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,63443.2
58,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,572214.6
59,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,30093.0
60,Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,10917.0
61,Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,20259.3
62,Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,17181.7
63,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,18240.9
64,Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022,5525.5
65,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,64608.4
66,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,19848.7
67,Brightcom Group Ltd.,Information Technology,BCG,EQ,INE425B01027,3905.8
68,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,126117.4
69,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,10788.3
70,CESC Ltd.,Power,CESC,EQ,INE486A01021,16357.5
71,CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,17989.4
72,CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013,6871.8
73,Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,8589.9
74,Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,10319.4
75,Canara Bank,Financial Services,CANBK,EQ,INE476A01014,77173.1
76,Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026,15808.8
77,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,20970.7
78,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,18056.4
79,Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,9661.1
80,Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,42319.6
81,Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,13347.6
82,Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050,7951.3
83,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,100511.1
84,City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,11031.8
85,Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,225586.7
86,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01017,18080.2
87,Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,38704.0
88,Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,15756.2
89,Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,37189.0
90,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,11366.8
91,CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,25679.1
92,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,56192.6
93,Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,25991.9
94,DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,16411.4
95,DLF Ltd.,Realty,DLF,EQ,INE271C01023,176947.7
96,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,94024.3
97,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,41992.8
98,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,10779.4
99,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,33721.8
